~product_sku~;~product_parent_sku~;~product_name~;~Price~;~category_path~;~product_s_desc~;~product_desc~;~product_full_image~;~product_thumb_image~;~product_availability~;~product_currency~;~product_discount~;~product_publish~;~product_special~
~A001~;;~Стол обеденный А001~;~5900.00~;~Обеденные столы/Дик~;~Круглый стеклянный стол с нижней полочкой, хромированный металлокаркас.<br />Ширина: 900мм Глубина: 900мм, Высота: 750мм<br />Материал: металл/стекло<br />~;~{source 0}<?php  $file = JPATH_ROOT. '/media/vmart/hdr_dik.php'; if (file_exists($file)) include($file); ?>{/source}~;~_________________4ecd3baa2047d.jpg~;~resized/_________________4ecd3baa1d07b_180x180.jpg~;;~RUB~;~0.00~;~Y~;~N~
~A02~;;~Стол обеденный А02~;~7800.00~;~Обеденные столы/Дик~;~Обеденный стол с овальной столешницей и деревянными элементами в ножках.<br />Ширина: 1200мм Глубина: 800мм, Высота: 750мм<br />Материал: металл/стекло<br />~;~{source 0}<?php  $file = JPATH_ROOT. '/media/vmart/hdr_dik.php'; if (file_exists($file)) include($file); ?>{/source}~;~_________________4ecd374bd1320.jpg~;~resized/_________________4ecd374bc405f_180x180.jpg~;;~RUB~;~0.00~;~Y~;~N~
~A1119~;;~Журнальный стол A1119~;~9820.00~;~Журнальные столы/Эком~;~Респектабельный журнальный стол, изюминкой которого является отделка ножек и подстолья кожзаменителем.<br />Ширина: 1200мм Глубина: 700мм, Высота: 420мм<br />Материал: металл/стекло/кожзаменитель<br /><strong>Цвет кожзаменителя на выбор.</strong>~;~{source 0}<?php  $file = JPATH_ROOT. '/media/vmart/hdr_ecom.php'; if (file_exists($file)) include($file); ?>{/source}~;~_________________4ed7825f61e2f.jpg~;~resized/_________________4ed7825f59b15_180x180.jpg~;;~RUB~;~0.00~;~Y~;~N~
~A1119-1~;;~Овальный журнальный стол A1119-1~;~10720.00~;~Журнальные столы/Эком~;~Респектабельный овальный журнальный стол, изюминкой которого является отделка ножек и подстолья кожзаменителем.<br />Ширина: 1350мм Глубина: 800мм, Высота: 420мм<br />Материал: металл/стекло/кожзаменитель<br /><strong>Доступен выбор цвета кожзаменит~;~{source 0}<?php  $file = JPATH_ROOT. '/media/vmart/hdr_ecom.php'; if (file_exists($file)) include($file); ?>{/source}~;~_________________4ed8abc42ee98.jpg~;~resized/_________________4ed8abc426c09_180x180.jpg~;;~RUB~;~0.00~;~Y~;~N~
~A1119С~;;~Квадратный журнальный стол A1119С~;~8260.00~;~Журнальные столы/Эком~;~Журнальный стол с квадратной стеклянной столешницей и отделкой опор и подстолья кожзаменителем.<br />Ширина: 700мм Глубина: 700мм, Высота: 530мм<br />Материал: металл/стекло/кожзаменитель<br /><strong>Доступны различные варианты исполнения.</strong>~;~{source 0}<?php  $file = JPATH_ROOT. '/media/vmart/hdr_ecom.php'; if (file_exists($file)) include($file); ?>{/source}~;~_________________4ed8ad6f76680.jpg~;~resized/_________________4ed8ad6f7017d_180x180.jpg~;;~RUB~;~0.00~;~Y~;~N~
~A1146~;;~Журнальный стол в виде волны A1146~;~10140.00~;~Журнальные столы/Эком~;~Журнальный стол со столешницей и подстольем в виде волны на матовых опорах.<br />Ширина: 1050мм Глубина: 650мм, Высота: 420мм<br />Материал: металл/стекло<br />~;~{source 0}<?php  $file = JPATH_ROOT. '/media/vmart/hdr_ecom.php'; if (file_exists($file)) include($file); ?>{/source}Журнальный стол со столешницей и подстольем в виде волны на матовых опорах.<br />~;~_________________4ed8ba0ec5053.jpg~;~resized/_________________4ed8ba0ebdfd0_180x180.jpg~;;~RUB~;~0.00~;~Y~;~N~
~A1157~;;~Круглый журнальный стол A1157~;~5260.00~;~Журнальные столы/Эком~;~Круглый журнальный столик с изогнутыми металлическими ножками.<br />Диаметр: 600мм, Высота: 600мм<br />Материал: металл/стекло<br /><strong>Черное или прозрачное стекло на выбор.</strong>~;~{source 0}<?php  $file = JPATH_ROOT. '/media/vmart/hdr_ecom.php'; if (file_exists($file)) include($file); ?>{/source}Круглый журнальный столик с изогнутыми металлическими ножками.<br />~;~_________________4ed8bda8c39c9.jpg~;~resized/_________________4ed8bda8c0d0b_180x180.jpg~;;~RUB~;~0.00~;~Y~;~N~
~A1196C~;;~Квадратный обеденный стол A1196C~;~7980.00~;~Журнальные столы/Эком~;~Квадратный журнальный столик со стеклянной столешницей и подстольем на хромированных опорах.<br />Ширина: 700мм Глубина: 700мм, Высота: 450мм<br />Материал: металл/стекло<br />~;~{source 0}<?php  $file = JPATH_ROOT. '/media/vmart/hdr_ecom.php'; if (file_exists($file)) include($file); ?>{/source}Квадратный журнальный столик со стеклянной столешницей и подстольем на хромированных опорах.<br />~;~_________________4edcadb81a58e.jpg~;~resized/_________________4edcadb812a43_180x180.jpg~;;~RUB~;~0.00~;~Y~;~N~
~A1201~;;~Овальный журнальный стол A1201~;~5390.00~;~Нет в наличии~;~Журнальный стол со стеклянной столешницей и подстольем на хромированном металлокаркасе.<br />Ширина: 1100мм Глубина: 600мм, Высота: 450мм<br />Материал: металл/стекло<br />~;~{source 0}<?php  $file = JPATH_ROOT. '/media/vmart/hdr_ecom.php'; if (file_exists($file)) include($file); ?>{/source}Журнальный стол со стеклянной столешницей и подстольем на хромированном металлокаркасе.<br />~;~_________________4edcae66da5ad.jpg~;~resized/_________________4edcae66d23b7_180x180.jpg~;;~RUB~;~0.00~;~Y~;~N~
~A1205~;;~Круглый журнальный стол A1205~;~6860.00~;~Журнальные столы/Эком~;~Красивый круглый журнальный столик с изящной ножкой и использованием декоративных деревянных вставок.<br />Диаметр: 700мм, Высота: 730мм<br />Материал: металл/стекло/дерево<br />~;~{source 0}<?php  $file = JPATH_ROOT. '/media/vmart/hdr_ecom.php'; if (file_exists($file)) include($file); ?>{/source}Красивый круглый журнальный столик с изящной ножкой и использованием декоративных деревянных вставок.<br />~;~_________________4edcb1db5358c.jpg~;~resized/_________________4edcb1db4f2ff_180x180.jpg~;;~RUB~;~0.00~;~Y~;~N~
